&#0;	�		%00
&#2672;	ੰ	ੰ	%u0A70
&#2673;	ੱ	ੱ	%u0A71
&#2674;	ੲ	ੲ	%u0A72
&#2675;	ੳ	ੳ	%u0A73
&#2676;	ੴ	ੴ	%u0A74
&#2677;	ੵ	ੵ	%u0A75
&#2678;	੶	੶	%u0A76
&#2679;	੷	੷	%u0A77
&#2680;	੸	੸	%u0A78
&#2681;	੹	੹	%u0A79
&#2682;	੺	੺	%u0A7A
&#2683;	੻	੻	%u0A7B
&#2684;	੼	੼	%u0A7C
&#2685;	੽	੽	%u0A7D
&#2686;	੾	੾	%u0A7E
&#2687;	੿	੿	%u0A7F
&#2688;	઀	઀	%u0A80
&#2689;	ઁ	ઁ	%u0A81
&#2690;	ં	ં	%u0A82
&#2691;	ઃ	ઃ	%u0A83
&#2692;	઄	઄	%u0A84
&#2693;	અ	અ	%u0A85
&#2694;	આ	આ	%u0A86
&#2695;	ઇ	ઇ	%u0A87
&#2696;	ઈ	ઈ	%u0A88
&#2697;	ઉ	ઉ	%u0A89
&#2698;	ઊ	ઊ	%u0A8A
&#2699;	ઋ	ઋ	%u0A8B
&#2700;	ઌ	ઌ	%u0A8C
&#2701;	ઍ	ઍ	%u0A8D
&#2702;	઎	઎	%u0A8E
&#2703;	એ	એ	%u0A8F
&#2704;	ઐ	ઐ	%u0A90
&#2705;	ઑ	ઑ	%u0A91
&#2706;	઒	઒	%u0A92
&#2707;	ઓ	ઓ	%u0A93
&#2708;	ઔ	ઔ	%u0A94
&#2709;	ક	ક	%u0A95
&#2710;	ખ	ખ	%u0A96
&#2711;	ગ	ગ	%u0A97
&#2712;	ઘ	ઘ	%u0A98
&#2713;	ઙ	ઙ	%u0A99
&#2714;	ચ	ચ	%u0A9A
&#2715;	છ	છ	%u0A9B
&#2716;	જ	જ	%u0A9C
&#2717;	ઝ	ઝ	%u0A9D
&#2718;	ઞ	ઞ	%u0A9E
&#2719;	ટ	ટ	%u0A9F
&#2720;	ઠ	ઠ	%u0AA0
&#2721;	ડ	ડ	%u0AA1
&#2722;	ઢ	ઢ	%u0AA2
&#2723;	ણ	ણ	%u0AA3
&#2724;	ત	ત	%u0AA4
&#2725;	થ	થ	%u0AA5
&#2726;	દ	દ	%u0AA6
&#2727;	ધ	ધ	%u0AA7
&#2728;	ન	ન	%u0AA8
&#2729;	઩	઩	%u0AA9
&#2730;	પ	પ	%u0AAA
&#2731;	ફ	ફ	%u0AAB
&#2732;	બ	બ	%u0AAC
&#2733;	ભ	ભ	%u0AAD
&#2734;	મ	મ	%u0AAE
&#2735;	ય	ય	%u0AAF
&#2736;	ર	ર	%u0AB0
&#2737;	઱	઱	%u0AB1
&#2738;	લ	લ	%u0AB2
&#2739;	ળ	ળ	%u0AB3
&#2740;	઴	઴	%u0AB4
&#2741;	વ	વ	%u0AB5
&#2742;	શ	શ	%u0AB6
&#2743;	ષ	ષ	%u0AB7
&#2744;	સ	સ	%u0AB8
&#2745;	હ	હ	%u0AB9
&#2746;	઺	઺	%u0ABA
&#2747;	઻	઻	%u0ABB
&#2748;	઼	઼	%u0ABC
&#2749;	ઽ	ઽ	%u0ABD
&#2750;	ા	ા	%u0ABE
&#2751;	િ	િ	%u0ABF
&#2752;	ી	ી	%u0AC0
&#2753;	ુ	ુ	%u0AC1
&#2754;	ૂ	ૂ	%u0AC2
&#2755;	ૃ	ૃ	%u0AC3
&#2756;	ૄ	ૄ	%u0AC4
&#2757;	ૅ	ૅ	%u0AC5
&#2758;	૆	૆	%u0AC6
&#2759;	ે	ે	%u0AC7
&#2760;	ૈ	ૈ	%u0AC8
&#2761;	ૉ	ૉ	%u0AC9
&#2762;	૊	૊	%u0ACA
&#2763;	ો	ો	%u0ACB
&#2764;	ૌ	ૌ	%u0ACC
&#2765;	્	્	%u0ACD
&#2766;	૎	૎	%u0ACE
&#2767;	૏	૏	%u0ACF
&#2768;	ૐ	ૐ	%u0AD0
&#2769;	૑	૑	%u0AD1
&#2770;	૒	૒	%u0AD2
&#2771;	૓	૓	%u0AD3
&#2772;	૔	૔	%u0AD4
&#2773;	૕	૕	%u0AD5
&#2774;	૖	૖	%u0AD6
&#2775;	૗	૗	%u0AD7
&#2776;	૘	૘	%u0AD8
&#2777;	૙	૙	%u0AD9
&#2778;	૚	૚	%u0ADA
&#2779;	૛	૛	%u0ADB
&#2780;	૜	૜	%u0ADC
&#2781;	૝	૝	%u0ADD
&#2782;	૞	૞	%u0ADE
&#2783;	૟	૟	%u0ADF
&#2784;	ૠ	ૠ	%u0AE0
&#2785;	ૡ	ૡ	%u0AE1
&#2786;	ૢ	ૢ	%u0AE2
&#2787;	ૣ	ૣ	%u0AE3
&#2788;	૤	૤	%u0AE4
&#2789;	૥	૥	%u0AE5
&#2790;	૦	૦	%u0AE6
&#2791;	૧	૧	%u0AE7
&#2792;	૨	૨	%u0AE8
&#2793;	૩	૩	%u0AE9
&#2794;	૪	૪	%u0AEA
&#2795;	૫	૫	%u0AEB
&#2796;	૬	૬	%u0AEC
&#2797;	૭	૭	%u0AED
&#2798;	૮	૮	%u0AEE
&#2799;	૯	૯	%u0AEF
&#2800;	૰	૰	%u0AF0
&#2801;	૱	૱	%u0AF1
&#2802;	૲	૲	%u0AF2
&#2803;	૳	૳	%u0AF3
&#2804;	૴	૴	%u0AF4
&#2805;	૵	૵	%u0AF5
&#2806;	૶	૶	%u0AF6
&#2807;	૷	૷	%u0AF7
&#2808;	૸	૸	%u0AF8
&#2809;	ૹ	ૹ	%u0AF9
&#2810;	ૺ	ૺ	%u0AFA
&#2811;	ૻ	ૻ	%u0AFB
&#2812;	ૼ	ૼ	%u0AFC
&#2813;	૽	૽	%u0AFD
&#2814;	૾	૾	%u0AFE
&#2815;	૿	૿	%u0AFF
&#2816;	଀	଀	%u0B00
&#2817;	ଁ	ଁ	%u0B01
&#2818;	ଂ	ଂ	%u0B02
&#2819;	ଃ	ଃ	%u0B03
&#2820;	଄	଄	%u0B04
&#2821;	ଅ	ଅ	%u0B05
&#2822;	ଆ	ଆ	%u0B06
&#2823;	ଇ	ଇ	%u0B07
&#2824;	ଈ	ଈ	%u0B08
&#2825;	ଉ	ଉ	%u0B09
&#2826;	ଊ	ଊ	%u0B0A
&#2827;	ଋ	ଋ	%u0B0B
&#2828;	ଌ	ଌ	%u0B0C
&#2829;	଍	଍	%u0B0D
&#2830;	଎	଎	%u0B0E
&#2831;	ଏ	ଏ	%u0B0F
&#2832;	ଐ	ଐ	%u0B10
&#2833;	଑	଑	%u0B11
&#2834;	଒	଒	%u0B12
&#2835;	ଓ	ଓ	%u0B13
&#2836;	ଔ	ଔ	%u0B14
&#2837;	କ	କ	%u0B15
&#2838;	ଖ	ଖ	%u0B16
&#2839;	ଗ	ଗ	%u0B17
&#2840;	ଘ	ଘ	%u0B18
&#2841;	ଙ	ଙ	%u0B19
&#2842;	ଚ	ଚ	%u0B1A
&#2843;	ଛ	ଛ	%u0B1B
&#2844;	ଜ	ଜ	%u0B1C
&#2845;	ଝ	ଝ	%u0B1D
&#2846;	ଞ	ଞ	%u0B1E
&#2847;	ଟ	ଟ	%u0B1F
&#2848;	ଠ	ଠ	%u0B20
&#2849;	ଡ	ଡ	%u0B21
&#2850;	ଢ	ଢ	%u0B22
&#2851;	ଣ	ଣ	%u0B23
&#2852;	ତ	ତ	%u0B24
&#2853;	ଥ	ଥ	%u0B25
&#2854;	ଦ	ଦ	%u0B26
&#2855;	ଧ	ଧ	%u0B27
&#2856;	ନ	ନ	%u0B28
&#2857;	଩	଩	%u0B29
&#2858;	ପ	ପ	%u0B2A
&#2859;	ଫ	ଫ	%u0B2B
&#2860;	ବ	ବ	%u0B2C
&#2861;	ଭ	ଭ	%u0B2D
&#2862;	ମ	ମ	%u0B2E
&#2863;	ଯ	ଯ	%u0B2F
&#2864;	ର	ର	%u0B30
&#2865;	଱	଱	%u0B31
&#2866;	ଲ	ଲ	%u0B32
&#2867;	ଳ	ଳ	%u0B33
&#2868;	଴	଴	%u0B34
&#2869;	ଵ	ଵ	%u0B35
&#2870;	ଶ	ଶ	%u0B36
&#2871;	ଷ	ଷ	%u0B37
&#2872;	ସ	ସ	%u0B38
&#2873;	ହ	ହ	%u0B39
&#2874;	଺	଺	%u0B3A
&#2875;	଻	଻	%u0B3B
&#2876;	଼	଼	%u0B3C
&#2877;	ଽ	ଽ	%u0B3D
&#2878;	ା	ା	%u0B3E
&#2879;	ି	ି	%u0B3F
&#2880;	ୀ	ୀ	%u0B40
&#2881;	ୁ	ୁ	%u0B41
&#2882;	ୂ	ୂ	%u0B42
&#2883;	ୃ	ୃ	%u0B43
&#2884;	ୄ	ୄ	%u0B44
&#2885;	୅	୅	%u0B45
&#2886;	୆	୆	%u0B46
&#2887;	େ	େ	%u0B47
&#2888;	ୈ	ୈ	%u0B48
&#2889;	୉	୉	%u0B49
&#2890;	୊	୊	%u0B4A
&#2891;	ୋ	ୋ	%u0B4B
&#2892;	ୌ	ୌ	%u0B4C
&#2893;	୍	୍	%u0B4D
&#2894;	୎	୎	%u0B4E
&#2895;	୏	୏	%u0B4F
&#2896;	୐	୐	%u0B50
&#2897;	୑	୑	%u0B51
&#2898;	୒	୒	%u0B52
&#2899;	୓	୓	%u0B53
&#2900;	୔	୔	%u0B54
&#2901;	୕	୕	%u0B55
&#2902;	ୖ	ୖ	%u0B56
&#2903;	ୗ	ୗ	%u0B57
&#2904;	୘	୘	%u0B58
&#2905;	୙	୙	%u0B59
&#2906;	୚	୚	%u0B5A
&#2907;	୛	୛	%u0B5B
&#2908;	ଡ଼	ଡ଼	%u0B5C
&#2909;	ଢ଼	ଢ଼	%u0B5D
&#2910;	୞	୞	%u0B5E
&#2911;	ୟ	ୟ	%u0B5F
&#2912;	ୠ	ୠ	%u0B60
&#2913;	ୡ	ୡ	%u0B61
&#2914;	ୢ	ୢ	%u0B62
&#2915;	ୣ	ୣ	%u0B63
&#2916;	୤	୤	%u0B64
&#2917;	୥	୥	%u0B65
&#2918;	୦	୦	%u0B66
&#2919;	୧	୧	%u0B67
&#2920;	୨	୨	%u0B68
&#2921;	୩	୩	%u0B69
&#2922;	୪	୪	%u0B6A
&#2923;	୫	୫	%u0B6B
&#2924;	୬	୬	%u0B6C
&#2925;	୭	୭	%u0B6D
&#2926;	୮	୮	%u0B6E
&#2927;	୯	୯	%u0B6F
&#2928;	୰	୰	%u0B70
&#2929;	ୱ	ୱ	%u0B71
&#2930;	୲	୲	%u0B72
&#2931;	୳	୳	%u0B73
&#2932;	୴	୴	%u0B74
&#2933;	୵	୵	%u0B75
&#2934;	୶	୶	%u0B76
&#2935;	୷	୷	%u0B77
&#2936;	୸	୸	%u0B78
&#2937;	୹	୹	%u0B79
&#2938;	୺	୺	%u0B7A
&#2939;	୻	୻	%u0B7B
&#2940;	୼	୼	%u0B7C
&#2941;	୽	୽	%u0B7D
&#2942;	୾	୾	%u0B7E
&#2943;	୿	୿	%u0B7F
&#2944;	஀	஀	%u0B80
&#2945;	஁	஁	%u0B81
&#2946;	ஂ	ஂ	%u0B82
&#2947;	ஃ	ஃ	%u0B83
&#2948;	஄	஄	%u0B84
&#2949;	அ	அ	%u0B85
&#2950;	ஆ	ஆ	%u0B86
&#2951;	இ	இ	%u0B87
&#2952;	ஈ	ஈ	%u0B88
&#2953;	உ	உ	%u0B89
&#2954;	ஊ	ஊ	%u0B8A
&#2955;	஋	஋	%u0B8B
&#2956;	஌	஌	%u0B8C
&#2957;	஍	஍	%u0B8D
&#2958;	எ	எ	%u0B8E
&#2959;	ஏ	ஏ	%u0B8F
&#2960;	ஐ	ஐ	%u0B90
&#2961;	஑	஑	%u0B91
&#2962;	ஒ	ஒ	%u0B92
&#2963;	ஓ	ஓ	%u0B93
&#2964;	ஔ	ஔ	%u0B94
&#2965;	க	க	%u0B95
&#2966;	஖	஖	%u0B96
&#2967;	஗	஗	%u0B97
&#2968;	஘	஘	%u0B98
&#2969;	ங	ங	%u0B99
&#2970;	ச	ச	%u0B9A
&#2971;	஛	஛	%u0B9B
&#2972;	ஜ	ஜ	%u0B9C
&#2973;	஝	஝	%u0B9D
&#2974;	ஞ	ஞ	%u0B9E
&#2975;	ட	ட	%u0B9F
&#2976;	஠	஠	%u0BA0
&#2977;	஡	஡	%u0BA1
&#2978;	஢	஢	%u0BA2
&#2979;	ண	ண	%u0BA3
&#2980;	த	த	%u0BA4
&#2981;	஥	஥	%u0BA5
&#2982;	஦	஦	%u0BA6
&#2983;	஧	஧	%u0BA7
&#2984;	ந	ந	%u0BA8
&#2985;	ன	ன	%u0BA9
&#2986;	ப	ப	%u0BAA
&#2987;	஫	஫	%u0BAB
&#2988;	஬	஬	%u0BAC
&#2989;	஭	஭	%u0BAD
&#2990;	ம	ம	%u0BAE
&#2991;	ய	ய	%u0BAF
&#2992;	ர	ர	%u0BB0
&#2993;	ற	ற	%u0BB1
&#2994;	ல	ல	%u0BB2
&#2995;	ள	ள	%u0BB3
&#2996;	ழ	ழ	%u0BB4
&#2997;	வ	வ	%u0BB5
&#2998;	ஶ	ஶ	%u0BB6
&#2999;	ஷ	ஷ	%u0BB7
&#3000;	ஸ	ஸ	%u0BB8
&#3001;	ஹ	ஹ	%u0BB9
&#3002;	஺	஺	%u0BBA
&#3003;	஻	஻	%u0BBB
&#3004;	஼	஼	%u0BBC
&#3005;	஽	஽	%u0BBD
&#3006;	ா	ா	%u0BBE
&#3007;	ி	ி	%u0BBF
&#3008;	ீ	ீ	%u0BC0
&#3009;	ு	ு	%u0BC1
&#3010;	ூ	ூ	%u0BC2
&#3011;	௃	௃	%u0BC3
&#3012;	௄	௄	%u0BC4
&#3013;	௅	௅	%u0BC5
&#3014;	ெ	ெ	%u0BC6
&#3015;	ே	ே	%u0BC7
&#3016;	ை	ை	%u0BC8
&#3017;	௉	௉	%u0BC9
&#3018;	ொ	ொ	%u0BCA
&#3019;	ோ	ோ	%u0BCB
&#3020;	ௌ	ௌ	%u0BCC
&#3021;	்	்	%u0BCD
&#3022;	௎	௎	%u0BCE
&#3023;	௏	௏	%u0BCF
&#3024;	ௐ	ௐ	%u0BD0
&#3025;	௑	௑	%u0BD1
&#3026;	௒	௒	%u0BD2
&#3027;	௓	௓	%u0BD3
&#3028;	௔	௔	%u0BD4
&#3029;	௕	௕	%u0BD5
&#3030;	௖	௖	%u0BD6
&#3031;	ௗ	ௗ	%u0BD7
&#3032;	௘	௘	%u0BD8
&#3033;	௙	௙	%u0BD9
&#3034;	௚	௚	%u0BDA
&#3035;	௛	௛	%u0BDB
&#3036;	௜	௜	%u0BDC
&#3037;	௝	௝	%u0BDD
&#3038;	௞	௞	%u0BDE
&#3039;	௟	௟	%u0BDF
&#3040;	௠	௠	%u0BE0
&#3041;	௡	௡	%u0BE1
&#3042;	௢	௢	%u0BE2
&#3043;	௣	௣	%u0BE3
&#3044;	௤	௤	%u0BE4
&#3045;	௥	௥	%u0BE5
&#3046;	௦	௦	%u0BE6
&#3047;	௧	௧	%u0BE7
&#3048;	௨	௨	%u0BE8
&#3049;	௩	௩	%u0BE9
&#3050;	௪	௪	%u0BEA
&#3051;	௫	௫	%u0BEB
&#3052;	௬	௬	%u0BEC
&#3053;	௭	௭	%u0BED
&#3054;	௮	௮	%u0BEE
&#3055;	௯	௯	%u0BEF
&#3056;	௰	௰	%u0BF0
&#3057;	௱	௱	%u0BF1
&#3058;	௲	௲	%u0BF2
&#3059;	௳	௳	%u0BF3
&#3060;	௴	௴	%u0BF4
&#3061;	௵	௵	%u0BF5
&#3062;	௶	௶	%u0BF6
&#3063;	௷	௷	%u0BF7
&#3064;	௸	௸	%u0BF8
&#3065;	௹	௹	%u0BF9
&#3066;	௺	௺	%u0BFA
&#3067;	௻	௻	%u0BFB
&#3068;	௼	௼	%u0BFC
&#3069;	௽	௽	%u0BFD
&#3070;	௾	௾	%u0BFE
&#3071;	௿	௿	%u0BFF
&#3072;	ఀ	ఀ	%u0C00
&#3073;	ఁ	ఁ	%u0C01
&#3074;	ం	ం	%u0C02
&#3075;	ః	ః	%u0C03
&#3076;	ఄ	ఄ	%u0C04
&#3077;	అ	అ	%u0C05
&#3078;	ఆ	ఆ	%u0C06
&#3079;	ఇ	ఇ	%u0C07
&#3080;	ఈ	ఈ	%u0C08
&#3081;	ఉ	ఉ	%u0C09
&#3082;	ఊ	ఊ	%u0C0A
&#3083;	ఋ	ఋ	%u0C0B
&#3084;	ఌ	ఌ	%u0C0C
&#3085;	఍	఍	%u0C0D
&#3086;	ఎ	ఎ	%u0C0E
&#3087;	ఏ	ఏ	%u0C0F
&#3088;	ఐ	ఐ	%u0C10
&#3089;	఑	఑	%u0C11
&#3090;	ఒ	ఒ	%u0C12
&#3091;	ఓ	ఓ	%u0C13
&#3092;	ఔ	ఔ	%u0C14
&#3093;	క	క	%u0C15
&#3094;	ఖ	ఖ	%u0C16
&#3095;	గ	గ	%u0C17
&#3096;	ఘ	ఘ	%u0C18
&#3097;	ఙ	ఙ	%u0C19
&#3098;	చ	చ	%u0C1A
&#3099;	ఛ	ఛ	%u0C1B
&#3100;	జ	జ	%u0C1C
&#3101;	ఝ	ఝ	%u0C1D
&#3102;	ఞ	ఞ	%u0C1E
&#3103;	ట	ట	%u0C1F
&#3104;	ఠ	ఠ	%u0C20
&#3105;	డ	డ	%u0C21
&#3106;	ఢ	ఢ	%u0C22
&#3107;	ణ	ణ	%u0C23
&#3108;	త	త	%u0C24
&#3109;	థ	థ	%u0C25
&#3110;	ద	ద	%u0C26
&#3111;	ధ	ధ	%u0C27
&#3112;	న	న	%u0C28
&#3113;	఩	఩	%u0C29
&#3114;	ప	ప	%u0C2A
&#3115;	ఫ	ఫ	%u0C2B
&#3116;	బ	బ	%u0C2C
&#3117;	భ	భ	%u0C2D
&#3118;	మ	మ	%u0C2E
&#3119;	య	య	%u0C2F
&#3120;	ర	ర	%u0C30
&#3121;	ఱ	ఱ	%u0C31
&#3122;	ల	ల	%u0C32
&#3123;	ళ	ళ	%u0C33
&#3124;	ఴ	ఴ	%u0C34
&#3125;	వ	వ	%u0C35
&#3126;	శ	శ	%u0C36
&#3127;	ష	ష	%u0C37
&#3128;	స	స	%u0C38
&#3129;	హ	హ	%u0C39
&#3130;	఺	఺	%u0C3A
&#3131;	఻	఻	%u0C3B
&#3132;	఼	఼	%u0C3C
&#3133;	ఽ	ఽ	%u0C3D
&#3134;	ా	ా	%u0C3E
&#3135;	ి	ి	%u0C3F
&#3136;	ీ	ీ	%u0C40
&#3137;	ు	ు	%u0C41
&#3138;	ూ	ూ	%u0C42
&#3139;	ృ	ృ	%u0C43
&#3140;	ౄ	ౄ	%u0C44
&#3141;	౅	౅	%u0C45
&#3142;	ె	ె	%u0C46
&#3143;	ే	ే	%u0C47
&#3144;	ై	ై	%u0C48
&#3145;	౉	౉	%u0C49
&#3146;	ొ	ొ	%u0C4A
&#3147;	ో	ో	%u0C4B
&#3148;	ౌ	ౌ	%u0C4C
&#3149;	్	్	%u0C4D
&#3150;	౎	౎	%u0C4E
&#3151;	౏	౏	%u0C4F
&#3152;	౐	౐	%u0C50
&#3153;	౑	౑	%u0C51
&#3154;	౒	౒	%u0C52
&#3155;	౓	౓	%u0C53
&#3156;	౔	౔	%u0C54
&#3157;	ౕ	ౕ	%u0C55
&#3158;	ౖ	ౖ	%u0C56
&#3159;	౗	౗	%u0C57
&#3160;	ౘ	ౘ	%u0C58
&#3161;	ౙ	ౙ	%u0C59
&#3162;	ౚ	ౚ	%u0C5A
&#3163;	౛	౛	%u0C5B
&#3164;	౜	౜	%u0C5C
&#3165;	ౝ	ౝ	%u0C5D
&#3166;	౞	౞	%u0C5E
&#3167;	౟	౟	%u0C5F
&#3168;	ౠ	ౠ	%u0C60
&#3169;	ౡ	ౡ	%u0C61
&#3170;	ౢ	ౢ	%u0C62
&#3171;	ౣ	ౣ	%u0C63
&#3172;	౤	౤	%u0C64
&#3173;	౥	౥	%u0C65
&#3174;	౦	౦	%u0C66
&#3175;	౧	౧	%u0C67
&#3176;	౨	౨	%u0C68
&#3177;	౩	౩	%u0C69
&#3178;	౪	౪	%u0C6A
&#3179;	౫	౫	%u0C6B
&#3180;	౬	౬	%u0C6C
&#3181;	౭	౭	%u0C6D
&#3182;	౮	౮	%u0C6E
&#3183;	౯	౯	%u0C6F
&#3184;	౰	౰	%u0C70
&#3185;	౱	౱	%u0C71
&#3186;	౲	౲	%u0C72
&#3187;	౳	౳	%u0C73
&#3188;	౴	౴	%u0C74
&#3189;	౵	౵	%u0C75
&#3190;	౶	౶	%u0C76
&#3191;	౷	౷	%u0C77
&#3192;	౸	౸	%u0C78
&#3193;	౹	౹	%u0C79
&#3194;	౺	౺	%u0C7A
&#3195;	౻	౻	%u0C7B
&#3196;	౼	౼	%u0C7C
&#3197;	౽	౽	%u0C7D
&#3198;	౾	౾	%u0C7E
&#3199;	౿	౿	%u0C7F
&#3200;	ಀ	ಀ	%u0C80
&#3201;	ಁ	ಁ	%u0C81
&#3202;	ಂ	ಂ	%u0C82
&#3203;	ಃ	ಃ	%u0C83
&#3204;	಄	಄	%u0C84
&#3205;	ಅ	ಅ	%u0C85
&#3206;	ಆ	ಆ	%u0C86
&#3207;	ಇ	ಇ	%u0C87
&#3208;	ಈ	ಈ	%u0C88
&#3209;	ಉ	ಉ	%u0C89
&#3210;	ಊ	ಊ	%u0C8A
&#3211;	ಋ	ಋ	%u0C8B
&#3212;	ಌ	ಌ	%u0C8C
&#3213;	಍	಍	%u0C8D
&#3214;	ಎ	ಎ	%u0C8E
&#3215;	ಏ	ಏ	%u0C8F
&#3216;	ಐ	ಐ	%u0C90
&#3217;	಑	಑	%u0C91
&#3218;	ಒ	ಒ	%u0C92
&#3219;	ಓ	ಓ	%u0C93
&#3220;	ಔ	ಔ	%u0C94
&#3221;	ಕ	ಕ	%u0C95
&#3222;	ಖ	ಖ	%u0C96
&#3223;	ಗ	ಗ	%u0C97
&#3224;	ಘ	ಘ	%u0C98
&#3225;	ಙ	ಙ	%u0C99
&#3226;	ಚ	ಚ	%u0C9A
&#3227;	ಛ	ಛ	%u0C9B
&#3228;	ಜ	ಜ	%u0C9C
&#3229;	ಝ	ಝ	%u0C9D
&#3230;	ಞ	ಞ	%u0C9E
&#3231;	ಟ	ಟ	%u0C9F
&#3232;	ಠ	ಠ	%u0CA0
&#3233;	ಡ	ಡ	%u0CA1
&#3234;	ಢ	ಢ	%u0CA2
&#3235;	ಣ	ಣ	%u0CA3
&#3236;	ತ	ತ	%u0CA4
&#3237;	ಥ	ಥ	%u0CA5
&#3238;	ದ	ದ	%u0CA6
&#3239;	ಧ	ಧ	%u0CA7
&#3240;	ನ	ನ	%u0CA8
&#3241;	಩	಩	%u0CA9
&#3242;	ಪ	ಪ	%u0CAA
&#3243;	ಫ	ಫ	%u0CAB
&#3244;	ಬ	ಬ	%u0CAC
&#3245;	ಭ	ಭ	%u0CAD
&#3246;	ಮ	ಮ	%u0CAE
&#3247;	ಯ	ಯ	%u0CAF
&#3248;	ರ	ರ	%u0CB0
&#3249;	ಱ	ಱ	%u0CB1
&#3250;	ಲ	ಲ	%u0CB2
&#3251;	ಳ	ಳ	%u0CB3
&#3252;	಴	಴	%u0CB4
&#3253;	ವ	ವ	%u0CB5
&#3254;	ಶ	ಶ	%u0CB6
&#3255;	ಷ	ಷ	%u0CB7
&#3256;	ಸ	ಸ	%u0CB8
&#3257;	ಹ	ಹ	%u0CB9
&#3258;	಺	಺	%u0CBA
&#3259;	಻	಻	%u0CBB
&#3260;	಼	಼	%u0CBC
&#3261;	ಽ	ಽ	%u0CBD
&#3262;	ಾ	ಾ	%u0CBE
&#3263;	ಿ	ಿ	%u0CBF
&#3264;	ೀ	ೀ	%u0CC0
&#3265;	ು	ು	%u0CC1
&#3266;	ೂ	ೂ	%u0CC2
&#3267;	ೃ	ೃ	%u0CC3
&#3268;	ೄ	ೄ	%u0CC4
&#3269;	೅	೅	%u0CC5
&#3270;	ೆ	ೆ	%u0CC6
&#3271;	ೇ	ೇ	%u0CC7
&#3272;	ೈ	ೈ	%u0CC8
&#3273;	೉	೉	%u0CC9
&#3274;	ೊ	ೊ	%u0CCA
&#3275;	ೋ	ೋ	%u0CCB
&#3276;	ೌ	ೌ	%u0CCC
&#3277;	್	್	%u0CCD
&#3278;	೎	೎	%u0CCE
&#3279;	೏	೏	%u0CCF
&#3280;	೐	೐	%u0CD0
&#3281;	೑	೑	%u0CD1
&#3282;	೒	೒	%u0CD2
&#3283;	೓	೓	%u0CD3
&#3284;	೔	೔	%u0CD4
&#3285;	ೕ	ೕ	%u0CD5
&#3286;	ೖ	ೖ	%u0CD6
&#3287;	೗	೗	%u0CD7
&#3288;	೘	೘	%u0CD8
&#3289;	೙	೙	%u0CD9
&#3290;	೚	೚	%u0CDA
&#3291;	೛	೛	%u0CDB
&#3292;	೜	೜	%u0CDC
&#3293;	ೝ	ೝ	%u0CDD
&#3294;	ೞ	ೞ	%u0CDE
&#3295;	೟	೟	%u0CDF
&#3296;	ೠ	ೠ	%u0CE0
&#3297;	ೡ	ೡ	%u0CE1
&#3298;	ೢ	ೢ	%u0CE2
&#3299;	ೣ	ೣ	%u0CE3
&#3300;	೤	೤	%u0CE4
&#3301;	೥	೥	%u0CE5
&#3302;	೦	೦	%u0CE6
&#3303;	೧	೧	%u0CE7
&#3304;	೨	೨	%u0CE8
&#3305;	೩	೩	%u0CE9
&#3306;	೪	೪	%u0CEA
&#3307;	೫	೫	%u0CEB
&#3308;	೬	೬	%u0CEC
&#3309;	೭	೭	%u0CED
&#3310;	೮	೮	%u0CEE
&#3311;	೯	೯	%u0CEF
&#3312;	೰	೰	%u0CF0
&#3313;	ೱ	ೱ	%u0CF1
&#3314;	ೲ	ೲ	%u0CF2
&#3315;	ೳ	ೳ	%u0CF3
&#3316;	೴	೴	%u0CF4
&#3317;	೵	೵	%u0CF5
&#3318;	೶	೶	%u0CF6
&#3319;	೷	೷	%u0CF7
&#3320;	೸	೸	%u0CF8
&#3321;	೹	೹	%u0CF9
&#3322;	೺	೺	%u0CFA
&#3323;	೻	೻	%u0CFB
&#3324;	೼	೼	%u0CFC
&#3325;	೽	೽	%u0CFD
&#3326;	೾	೾	%u0CFE
&#3327;	೿	೿	%u0CFF
&#3328;	ഀ	ഀ	%u0D00
&#3329;	ഁ	ഁ	%u0D01
&#3330;	ം	ം	%u0D02
&#3331;	ഃ	ഃ	%u0D03
&#3332;	ഄ	ഄ	%u0D04
&#3333;	അ	അ	%u0D05
&#3334;	ആ	ആ	%u0D06
&#3335;	ഇ	ഇ	%u0D07
&#3336;	ഈ	ഈ	%u0D08
&#3337;	ഉ	ഉ	%u0D09
&#3338;	ഊ	ഊ	%u0D0A
&#3339;	ഋ	ഋ	%u0D0B
&#3340;	ഌ	ഌ	%u0D0C
&#3341;	഍	഍	%u0D0D
&#3342;	എ	എ	%u0D0E
&#3343;	ഏ	ഏ	%u0D0F
&#3344;	ഐ	ഐ	%u0D10
&#3345;	഑	഑	%u0D11
&#3346;	ഒ	ഒ	%u0D12
&#3347;	ഓ	ഓ	%u0D13
&#3348;	ഔ	ഔ	%u0D14
&#3349;	ക	ക	%u0D15
&#3350;	ഖ	ഖ	%u0D16
&#3351;	ഗ	ഗ	%u0D17
&#3352;	ഘ	ഘ	%u0D18
&#3353;	ങ	ങ	%u0D19
&#3354;	ച	ച	%u0D1A
&#3355;	ഛ	ഛ	%u0D1B
&#3356;	ജ	ജ	%u0D1C
&#3357;	ഝ	ഝ	%u0D1D
&#3358;	ഞ	ഞ	%u0D1E
&#3359;	ട	ട	%u0D1F
&#3360;	ഠ	ഠ	%u0D20
&#3361;	ഡ	ഡ	%u0D21
&#3362;	ഢ	ഢ	%u0D22
&#3363;	ണ	ണ	%u0D23
